Date,Open,High,Low,Close
04/26/2023,4087.78,4089.67,4049.35,4055.99
04/25/2023,4126.43,4126.43,4071.38,4071.63
04/24/2023,4132.07,4142.41,4117.77,4137.04
04/21/2023,4132.14,4138.02,4113.86,4133.52
04/20/2023,4130.48,4148.57,4114.57,4129.79
04/19/2023,4139.33,4162.57,4134.49,4154.52
04/18/2023,4164.26,4169.48,4140.36,4154.87
04/17/2023,4137.17,4151.72,4123.18,4151.32
04/14/2023,4140.11,4163.19,4113.2,4137.64
04/13/2023,4100.04,4150.26,4099.4,4146.22
04/12/2023,4121.72,4134.37,4086.94,4091.95
04/11/2023,4110.29,4124.26,4102.61,4108.94
04/10/2023,4085.2,4109.5,4072.55,4109.11
04/06/2023,4081.58,4107.32,4069.84,4105.02
04/05/2023,4094.5,4099.69,4072.56,4090.38
04/04/2023,4128.03,4133.13,4086.87,4100.60
04/03/2023,4102.2,4127.66,4098.79,4124.51
