Date,Open,High,Low,Close,Volume,Market Cap
04/26/2023,28300.06,29995.84,27324.55,28422.70,31854242019,5.50E+11
04/25/2023,27514.87,28371.08,27207.93,28307.60,17733373139,5.48E+11
04/24/2023,27591.73,27979.98,27070.85,27525.34,17703288330,5.33E+11
04/23/2023,27816.14,27820.24,27400.31,27591.38,12785446832,5.34E+11
04/22/2023,27265.9,27872.14,27169.57,27817.50,13125734602,5.38E+11
04/21/2023,28249.23,28349.97,27177.37,27276.91,20759504330,5.28E+11
04/20/2023,28823.68,29076.4,28037.26,28245.99,21340360360,5.47E+11
04/19/2023,30394.19,30411.05,28669.9,28822.68,24571565421,5.58E+11
04/18/2023,29449.09,30470.3,29154.85,30397.55,19480529496,5.88E+11
04/17/2023,30317.15,30319.2,29275.37,29445.04,17872186762,5.70E+11
04/16/2023,30315.98,30555.54,30157.83,30315.36,12854816417,5.87E+11
04/15/2023,30490.75,30601.74,30245.88,30318.50,11940685378,5.87E+11
04/14/2023,30409.56,31005.61,30044.5,30485.70,22659995079,5.90E+11
04/13/2023,29892.74,30539.85,29878.62,30399.07,17487721001,5.88E+11
04/12/2023,30231.58,30462.48,29725.57,30139.05,18651929926,5.83E+11
04/11/2023,29653.68,30509.08,29609.3,30235.06,20121259843,5.85E+11
04/10/2023,28336.03,29771.46,28189.27,29652.98,19282400094,5.74E+11
04/09/2023,27952.37,28532.83,27828.48,28333.05,12175322951,5.48E+11
04/08/2023,27920.51,28159.86,27883.39,27947.79,9373255556,5.41E+11
04/07/2023,28038.97,28111.59,27794.03,27925.86,10861680497,5.40E+11
04/06/2023,28175.23,28178.38,27738.76,28044.14,13837809380,5.42E+11
04/05/2023,28169.73,28739.24,27843.76,28177.98,17052315986,5.45E+11
04/04/2023,27795.27,28433.74,27681.31,28168.09,15284538859,5.45E+11
04/03/2023,28183.08,28475.62,27276.72,27790.22,19556501327,5.37E+11
04/02/2023,28462.84,28518.96,27884.09,28199.31,12284641999,5.45E+11
04/01/2023,28473.33,28802.46,28297.17,28411.03,10876469901,5.49E+11
03/31/2023,28032.26,28639.9,27583.72,28478.48,19001327598,5.51E+11
03/30/2023,28350.14,29159.9,27720.16,28033.56,22435349951,5.42E+11
03/29/2023,27267.03,28619.54,27259.66,28348.44,20684945906,5.48E+11
03/28/2023,27132.89,27460.72,26677.82,27268.13,17783600385,5.27E+11
03/27/2023,27994.07,28037.93,26606.69,27139.89,18188895178,5.25E+11
03/26/2023,27495.52,28178.14,27445.05,27994.33,13878363192,5.41E+11
03/25/2023,27487.34,27791.83,27196.23,27494.71,13383005987,5.31E+11
03/24/2023,28324.11,28388.44,27039.27,27493.29,25980310960,5.31E+11
03/23/2023,27301.96,28729.84,27183.36,28333.97,24220433689,5.48E+11
03/22/2023,28158.72,28803.34,26760,27307.44,33382021890,5.28E+11
03/21/2023,27768.39,28439.56,27439.65,28175.82,36102192830,5.44E+11
03/20/2023,28041.6,28527.72,27242.88,27767.24,44774027664,5.37E+11
03/19/2023,26969.5,28440.56,26907.72,28038.67,37769448859,5.42E+11
03/18/2023,27448.12,27725.95,26636.26,26965.88,35723036817,5.21E+11
03/17/2023,25055.12,27787.81,24955.17,27423.93,50730261335,5.30E+11
03/16/2023,24373.46,25190.33,24225.11,25052.79,33866061747,4.84E+11
03/15/2023,24770.93,25240.62,23964.91,24375.96,43655701450,4.71E+11
03/14/2023,24201.77,26514.72,24081.18,24746.07,54622230164,4.78E+11
03/13/2023,22156.41,24550.84,21918.2,24197.53,49466362688,4.67E+11
03/12/2023,20628.03,22185.03,20448.81,22163.95,29279035521,4.28E+11
03/11/2023,20187.88,20792.53,20068.66,20632.41,30180288176,3.99E+11
03/10/2023,20367,20370.6,19628.25,20187.24,39578257695,3.90E+11
03/09/2023,21720.08,21802.72,20210.31,20363.02,30364664171,3.93E+11
03/08/2023,22216.44,22268.9,21708.05,21718.08,22536575684,4.19E+11
03/07/2023,22428.32,22527.42,22011.26,22219.77,22765452204,4.29E+11
03/06/2023,22436.82,22584.29,22331.31,22429.76,17353192895,4.33E+11
03/05/2023,22354.14,22613.69,22307.14,22435.51,13317001733,4.33E+11
03/04/2023,22362.92,22405.18,22198.98,22353.35,11166012913,4.32E+11
03/03/2023,23476.63,23479.35,22213.24,22362.68,26062404610,4.32E+11
03/02/2023,23647.02,23739.14,23245.02,23475.47,20386398516,4.53E+11
03/01/2023,23150.93,23880.63,23088.63,23646.55,24662841200,4.57E+11
02/28/2023,23521.84,23585.38,23077.65,23147.35,20535363434,4.47E+11
02/27/2023,23561.45,23857.89,23205.88,23522.87,22660763494,4.54E+11
